Timestamp,Plug_Basement,Cooling,Exhaust fan,EHW,Sumppump,Emergency light load,EL,Fire alarm,Heat pump electric,Heating,IT,Lighting,Plug1,Plug2,Plug3,PV_meter1_load (kW),PV_meter2_load (kW),Battery cabinet,Solar_hot_water_load (kW),Solar rapid shutdown,Control,NET,IN,OUT
2023-06-03 14:00:00-04:00,0.123613236,0.001897417,0.004061083,0.248617435,0.001156417,0.048418916,0,0.066167083,0,0,0.639834535,0.00204825,0.011771716,0.012121365,0.001119967,0.819189514,0.788041557,0.0031005,0,0.004057667,0.12932007,-0.310103389,0.239250047,-0.549353436
2023-06-03 15:00:00-04:00,0.149488413,0.001922167,0.00406075,0,0.001155917,0.049045083,0,0.066606083,0,0,0.640847842,0.002052583,0.011754466,0.012128115,0.001094983,0.606517327,0.58630078,0.003107917,0,0.004079833,0.138784069,-0.122575174,0.1380463,-0.260621474
2023-06-03 16:00:00-04:00,0.104093489,0.001895,0.004066833,0,0.001164583,0.048714333,0,0.066302866,0,0,0.639152949,0.003768233,0.011896932,0.012135532,0.0010953,0.467885101,0.457173894,0.00312322,0,0.00399225,0.137656753,0.112719091,0.13905763,-0.026338539
2023-06-03 17:00:00-04:00,0.090904809,0.001914167,0.004083417,0,0.001176,0.04876125,0,0.066483316,0,0,0.641147581,0.002071083,0.011854799,0.012026465,0.001134767,0.567347772,0.551535247,0.0031005,0,0.003949833,0.128910219,-0.101000252,0.06955242,-0.170552672
2023-06-03 18:00:00-04:00,0.071053659,0.0019005,0.004057,0,0.00114925,0.048519,0,0.066766183,0,0,0.638849891,0.00214785,0.011838849,0.012153599,0.001141383,0.367232288,0.358099189,0.00311125,0,0.004133333,0.130283669,0.278980799,0.40375445,-0.124773651
2023-06-03 19:00:00-04:00,0.101792457,0.001898167,0.004062583,0.140142934,0.001167667,0.048713,0,0.066812817,0,0,0.639534165,0.004734017,0.011755116,0.012154765,0.00114365,-0.006627,0.01372586,0.003104417,0,0.00420025,0.132232902,1.111422393,1.111422393,0
2023-06-03 20:00:00-04:00,0.063285661,0.001912417,0.00405975,0.083131631,0.0011485,0.048254583,0,0.066366516,0,0,0.639319513,0.00204925,0.011825716,0.012128532,0.001106517,-0.006396314,-0.004498391,0.003123831,0,0.003950833,0.130756937,1.128476097,1.128476097,0
2023-06-03 21:00:00-04:00,0.09188899,0.001917667,0.004068833,0,0.001158,0.048499833,0,0.066594383,0,0,0.64552678,0.002056533,0.011908733,0.012211665,0.001106,0,0,0.003103083,0,0.003998417,0.133609302,1.076360297,1.076360297,0
2023-06-03 22:00:00-04:00,0.081019826,0.001901083,0.004077833,0,0.001185917,0.049760833,0,0.067494883,0,0,0.639159256,0.013933783,0.011886833,0.011989815,0.00115155,0,0,0.003114917,0,0.003946833,0.131669419,1.08001128,1.08001128,0
2023-06-03 23:00:00-04:00,0.077079128,0.00191625,0.004136333,0,0.00119125,0.049251666,0,0.067603116,0,0,0.639598717,0.002073883,0.011828949,0.012039599,0.0011609,0,0,0.003128,0,0.003985667,0.129809737,1.065218486,1.065218486,0
