Timestamp,BTU10(Z21+22+23+24+25+26+27)_ReturnT (C),BTU10(Z21+22+23+24+25+26+27)_SupplyT (C),BTU11(Z32+33)_ReturnT (C),BTU11(Z32+33)_SupplyT (C),BTU13(Z31)_ReturnT (C),BTU13(Z31)_SupplyT (C),BTU5(Z2+3+4+5)_ReturnT (C),BTU5(Z2+3+4+5)_SupplyT (C),BTU6(Z1)_ReturnT (C),BTU6(Z1)_SupplyT (C),BTU7(Z14+15+16+17)_ReturnT (C),BTU7(Z14+15+16+17)_SupplyT (C),BTU8(Z11+12+13)_ReturnT (C),BTU8(Z11+12+13)_SupplyT (C),BTU10(Z21+22+23+24+25+26+27)_energy (kBTU/h),BTU10(Z21+22+23+24+25+26+27)_flow (GPM),BTU11(Z32+33)_energy (kBTU/h),BTU11(Z32+33)_flow (GPM),BTU13(Z31)_energy (kBTU/h),BTU13(Z31)_flow (GPM),BTU5(Z2+3+4+5)_energy (kBTU/h),BTU5(Z2+3+4+5)_flow (GPM),BTU6(Z1)_energy (kBTU/h),BTU6(Z1)_flow (GPM),BTU7(Z14+15+16+17)_energy (kBTU/h),BTU7(Z14+15+16+17)_flow (GPM),BTU8(Z11+12+13)_energy (kBTU/h),BTU8(Z11+12+13)_flow (GPM)
2023-06-02 13:00:00-04:00,23.26608137,23.41368839,23.62855678,23.55532626,25.85400669,26.0778948,20.85007113,21.32271244,22.78068546,22.27140164,22.50743223,23.01064601,23.13392086,22.81009092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-02 14:00:00-04:00,23.43370522,23.59535895,23.80673952,23.73701413,26.21764635,26.47021456,20.90929413,21.41605179,22.89700353,22.37627835,22.62798436,23.11790678,23.23548352,22.92281921,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-02 15:00:00-04:00,23.5983128,23.77447304,23.98110481,23.91564694,26.59429414,26.84464812,20.98034006,21.51452418,23.00775826,22.4777217,22.75420532,23.23293276,23.34867567,23.04345571,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-02 16:00:00-04:00,23.76011297,23.94966486,24.15922568,24.09427014,27.02517269,27.27763282,21.05583615,21.60822402,23.11210251,22.57412465,22.88560288,23.35930443,23.45908695,23.16233607,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-02 17:00:00-04:00,23.9077679,24.09250344,24.2980707,24.24370674,27.26794321,27.51563701,21.11768475,21.65994552,23.18146889,22.64663555,23.00140353,23.48156837,23.55687353,23.26797839,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-02 18:00:00-04:00,24.02133694,24.19602542,24.40062021,24.356512,27.38598654,27.61636875,21.15895738,21.68755835,23.23038023,22.70379236,23.09398644,23.58416035,23.63760044,23.35555769,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-02 19:00:00-04:00,24.10367492,24.25659151,24.47054891,24.43597384,27.40949617,27.6237196,21.19157629,21.70670778,23.2629598,22.74951016,23.17570164,23.67697045,23.70849379,23.43267624,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-02 20:00:00-04:00,24.10460924,24.21369828,24.45800153,24.40373682,27.22210891,27.4093967,21.20841973,21.71204977,23.31794463,22.80742504,23.23575663,23.77744399,23.77135093,23.49313573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-02 21:00:00-04:00,24.06817104,24.1219594,24.36396627,24.31202147,26.93665398,27.073997,21.19643402,21.67618024,23.25760608,22.79028885,23.17093319,23.77760922,23.82510835,23.490602,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-02 22:00:00-04:00,24.00467505,23.98481856,24.2565788,24.19486371,26.52291178,26.6259074,21.14186351,21.61990872,23.06011737,22.6019795,22.84119182,23.5845854,23.8214466,23.3124194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
